Order,Level,Toolkit,Package,Class Name,Note
1,0,TKBO,BOPAlgo,BOPAlgo_PISteps,Ready
2,0,TKBO,BOPAlgo,BOPAlgo_SectionAttribute,Ready
3,0,TKBO,BOPAlgo,BOPAlgo_Tools,Ready
4,0,TKBO,BOPAlgo,EdgeRangeDistance,Ready
5,0,TKBO,BOPAlgo,NbShapes,Ready
6,0,TKBO,BOPAlgo,PeriodicityParams,Ready
7,0,TKBO,BOPDS,BOPDS_IndexRange,Ready
8,0,TKBO,BOPDS,BOPDS_Pair,Ready
9,0,TKBO,BOPDS,BOPDS_Pave,Ready
10,0,TKBO,BOPDS,BOPDS_Point,Ready
11,0,TKBO,BOPDS,BOPDS_Tools,Ready
12,0,TKBO,BOPTools,BOPTools_AlgoTools,Ready
13,0,TKBO,BOPTools,BOPTools_AlgoTools2D,Ready
14,0,TKBO,BOPTools,BOPTools_AlgoTools3D,Ready
15,0,TKBO,BOPTools,BOPTools_Parallel,Ready
16,0,TKBO,IntTools,IntTools,Ready
17,0,TKBO,IntTools,IntTools_BaseRangeSample,Ready
18,0,TKBO,IntTools,IntTools_CurveRangeLocalizeData,Ready
19,0,TKBO,IntTools,IntTools_MarkedRangeSet,Ready
20,0,TKBO,IntTools,IntTools_Range,Ready
21,0,TKBO,IntTools,IntTools_Root,Ready
22,0,TKBO,IntTools,IntTools_Tools,Ready
23,0,TKBO,IntTools,IntTools_WLineTool,Ready
24,0,TKBRep,BRep,BRep_Tool,Ready
25,0,TKBRep,BRepLProp,BRepLProp,Ready
26,0,TKBRep,BRepLProp,BRepLProp_CurveTool,Ready
27,0,TKBRep,BRepLProp,BRepLProp_SurfaceTool,Ready
28,0,TKBRep,BRepTools,BRepTools,Ready
29,0,TKBRep,BRepTools,BRepTools_Modifier,Ready
30,0,TKBRep,BRepTools,BRepTools_Quilt,Ready
31,0,TKBRep,BRepTools,BRepTools_Substitution,Ready
32,0,TKBRep,BinTools,BinTools,Ready
33,0,TKBRep,BinTools,BinTools_Curve2dSet,Ready
34,0,TKBRep,BinTools,BinTools_CurveSet,Ready
35,0,TKBRep,BinTools,BinTools_IStream,Ready
36,0,TKBRep,BinTools,BinTools_LocationSet,Ready
37,0,TKBRep,BinTools,BinTools_OStream,Ready
38,0,TKBRep,BinTools,BinTools_ShapeSetBase,Ready
39,0,TKBRep,BinTools,BinTools_SurfaceSet,Ready
40,0,TKBRep,TopExp,TopExp,Ready
41,0,TKBRep,TopTools,TopTools,Ready
42,0,TKBRep,TopTools,TopTools_LocationSet,Ready
43,0,TKBRep,TopTools,TopTools_ShapeMapHasher,Ready
44,0,TKBRep,TopoDS,TopoDS_Builder,Ready
45,0,TKBin,BinDrivers,BinDrivers,Ready
46,0,TKBin,BinMDataXtd,BinMDataXtd,Ready
