entity_type,original_name,refactored_name,full_name,namespace,package,toolkit,metadata
Toolkit,TKBO,,TKBO,,,,packages=5
Toolkit,TKBRep,,TKBRep,,,,packages=8
Toolkit,TKBin,,TKBin,,,,packages=3
Toolkit,TKBinL,,TKBinL,,,,packages=6
Toolkit,TKBinTObj,,TKBinTObj,,,,packages=1
Toolkit,TKBinXCAF,,TKBinXCAF,,,,packages=2
Toolkit,TKBool,,TKBool,,,,packages=7
Toolkit,TKCAF,,TKCAF,,,,packages=3
Toolkit,TKCDF,,TKCDF,,,,packages=5
Toolkit,TKD3DHost,,TKD3DHost,,,,packages=1
Toolkit,TKD3DHostTest,,TKD3DHostTest,,,,packages=1
Toolkit,TKDCAF,,TKDCAF,,,,packages=6
Toolkit,TKDE,,TKDE,,,,packages=1
Toolkit,TKDECascade,,TKDECascade,,,,packages=4
Toolkit,TKDEGLTF,,TKDEGLTF,,,,packages=2
Toolkit,TKDEIGES,,TKDEIGES,,,,packages=20
Toolkit,TKDEOBJ,,TKDEOBJ,,,,packages=2
Toolkit,TKDEPLY,,TKDEPLY,,,,packages=2
Toolkit,TKDESTEP,,TKDESTEP,,,,packages=41
Toolkit,TKDESTL,,TKDESTL,,,,packages=3
Toolkit,TKDEVRML,,TKDEVRML,,,,packages=5
Toolkit,TKDraw,,TKDraw,,,,packages=3
Toolkit,TKExpress,,TKExpress,,,,packages=3
Toolkit,TKFeat,,TKFeat,,,,packages=2
Toolkit,TKFillet,,TKFillet,,,,packages=9
Toolkit,TKG2d,,TKG2d,,,,packages=7
Toolkit,TKG3d,,TKG3d,,,,packages=10
Toolkit,TKGeomAlgo,,TKGeomAlgo,,,,packages=33
Toolkit,TKGeomBase,,TKGeomBase,,,,packages=22
Toolkit,TKHLR,,TKHLR,,,,packages=8
Toolkit,TKIVtk,,TKIVtk,,,,packages=4
Toolkit,TKIVtkDraw,,TKIVtkDraw,,,,packages=1
Toolkit,TKLCAF,,TKLCAF,,,,packages=5
Toolkit,TKMath,,TKMath,,,,packages=15
Toolkit,TKMesh,,TKMesh,,,,packages=4
Toolkit,TKMeshVS,,TKMeshVS,,,,packages=1
Toolkit,TKOffset,,TKOffset,,,,packages=4
Toolkit,TKOpenGlTest,,TKOpenGlTest,,,,packages=1
Toolkit,TKOpenGles,,TKOpenGles,,,,packages=1
Toolkit,TKPrim,,TKPrim,,,,packages=5
Toolkit,TKQADraw,,TKQADraw,,,,packages=4
Toolkit,TKRWMesh,,TKRWMesh,,,,packages=1
Toolkit,TKService,,TKService,,,,packages=9
Toolkit,TKShHealing,,TKShHealing,,,,packages=10
Toolkit,TKStd,,TKStd,,,,packages=5
Toolkit,TKStdL,,TKStdL,,,,packages=3
Toolkit,TKTObj,,TKTObj,,,,packages=1
Toolkit,TKTObjDRAW,,TKTObjDRAW,,,,packages=1
Toolkit,TKTopAlgo,,TKTopAlgo,,,,packages=16
Toolkit,TKTopTest,,TKTopTest,,,,packages=8
Toolkit,TKV3d,,TKV3d,,,,packages=11
Toolkit,TKVCAF,,TKVCAF,,,,packages=1
