original_name,refactored_name,type,full_name,namespace,package,toolkit
AIS,,Class,AIS,,AIS,TKV3d
AISPresentation,,Class,AISPresentation,,AISPresentation,Unknown
AISPresentation_1,,Class,AISPresentation_1,,AISPresentation,Unknown
AIS_Animation,,Class,AIS_Animation,,AIS,TKV3d
AIS_AnimationAxisRotation,,Class,AIS_AnimationAxisRotation,,AIS,TKV3d
AIS_AnimationCamera,,Class,AIS_AnimationCamera,,AIS,TKV3d
AIS_AnimationObject,,Class,AIS_AnimationObject,,AIS,TKV3d
AIS_AttributeFilter,,Class,AIS_AttributeFilter,,AIS,TKV3d
AIS_Axis,,Class,AIS_Axis,,AIS,TKV3d
AIS_BadEdgeFilter,,Class,AIS_BadEdgeFilter,,AIS,TKV3d
AIS_BaseAnimationObject,,Class,AIS_BaseAnimationObject,,AIS,TKV3d
AIS_C0RegularityFilter,,Class,AIS_C0RegularityFilter,,AIS,TKV3d
AIS_CameraFrustum,,Class,AIS_CameraFrustum,,AIS,TKV3d
AIS_Circle,,Class,AIS_Circle,,AIS,TKV3d
AIS_ColorScale,,Class,AIS_ColorScale,,AIS,TKV3d
AIS_ColoredDrawer,,Class,AIS_ColoredDrawer,,AIS,TKV3d
AIS_ColoredShape,,Class,AIS_ColoredShape,,AIS,TKV3d
AIS_ConnectedInteractive,,Class,AIS_ConnectedInteractive,,AIS,TKV3d
AIS_ExclusionFilter,,Class,AIS_ExclusionFilter,,AIS,TKV3d
AIS_GlobalStatus,,Class,AIS_GlobalStatus,,AIS,TKV3d
AIS_GraphicTool,,Class,AIS_GraphicTool,,AIS,TKV3d
AIS_InteractiveContext,,Class,AIS_InteractiveContext,,AIS,TKV3d
AIS_InteractiveObject,,Class,AIS_InteractiveObject,,AIS,TKV3d
AIS_LightSource,,Class,AIS_LightSource,,AIS,TKV3d
AIS_LightSourceOwner,,Class,AIS_LightSourceOwner,,AIS,TKV3d
AIS_Line,,Class,AIS_Line,,AIS,TKV3d
AIS_Manipulator,,Class,AIS_Manipulator,,AIS,TKV3d
AIS_ManipulatorObjectSequence,,Class,AIS_ManipulatorObjectSequence,,AIS,TKV3d
AIS_ManipulatorOwner,,Class,AIS_ManipulatorOwner,,AIS,TKV3d
AIS_MediaPlayer,,Class,AIS_MediaPlayer,,AIS,TKV3d
AIS_MultipleConnectedInteractive,,Class,AIS_MultipleConnectedInteractive,,AIS,TKV3d
AIS_Plane,,Class,AIS_Plane,,AIS,TKV3d
AIS_PlaneTrihedron,,Class,AIS_PlaneTrihedron,,AIS,TKV3d
AIS_Point,,Class,AIS_Point,,AIS,TKV3d
AIS_PointCloud,,Class,AIS_PointCloud,,AIS,TKV3d
AIS_PointCloudOwner,,Class,AIS_PointCloudOwner,,AIS,TKV3d
AIS_RubberBand,,Class,AIS_RubberBand,,AIS,TKV3d
AIS_Selection,,Class,AIS_Selection,,AIS,TKV3d
AIS_Shape,,Class,AIS_Shape,,AIS,TKV3d
AIS_SignatureFilter,,Class,AIS_SignatureFilter,,AIS,TKV3d
AIS_TextLabel,,Class,AIS_TextLabel,,AIS,TKV3d
AIS_TexturedShape,,Class,AIS_TexturedShape,,AIS,TKV3d
AIS_Triangulation,,Class,AIS_Triangulation,,AIS,TKV3d
AIS_Trihedron,,Class,AIS_Trihedron,,AIS,TKV3d
AIS_TrihedronOwner,,Class,AIS_TrihedronOwner,,AIS,TKV3d
AIS_TypeFilter,,Class,AIS_TypeFilter,,AIS,TKV3d
AIS_ViewController,,Class,AIS_ViewController,,AIS,TKV3d
AIS_ViewCube,,Class,AIS_ViewCube,,AIS,TKV3d
AIS_ViewCubeOwner,,Class,AIS_ViewCubeOwner,,AIS,TKV3d
AIS_ViewCubeSensitive,,Class,AIS_ViewCubeSensitive,,AIS,TKV3d
AIS_ViewInputBuffer,,Class,AIS_ViewInputBuffer,,AIS,TKV3d
AIS_XRTrackedDevice,,Class,AIS_XRTrackedDevice,,AIS,TKV3d
APIHeaderSection_EditHeader,,Class,APIHeaderSection_EditHeader,,APIHeaderSection,TKDESTEP
APIHeaderSection_MakeHeader,,Class,APIHeaderSection_MakeHeader,,APIHeaderSection,TKDESTEP
Adaptor2d_Curve2d,,Class,Adaptor2d_Curve2d,,Adaptor2d,TKG2d
Adaptor2d_Line2d,,Class,Adaptor2d_Line2d,,Adaptor2d,TKG2d
Adaptor2d_OffsetCurve,,Class,Adaptor2d_OffsetCurve,,Adaptor2d,TKG2d
Adaptor3d_Curve,,Class,Adaptor3d_Curve,,Adaptor3d,TKG3d
Adaptor3d_CurveOnSurface,,Class,Adaptor3d_CurveOnSurface,,Adaptor3d,TKG3d
Adaptor3d_HSurfaceTool,,Class,Adaptor3d_HSurfaceTool,,Adaptor3d,TKG3d
Adaptor3d_HVertex,,Class,Adaptor3d_HVertex,,Adaptor3d,TKG3d
Adaptor3d_InterFunc,,Class,Adaptor3d_InterFunc,,Adaptor3d,TKG3d
Adaptor3d_IsoCurve,,Class,Adaptor3d_IsoCurve,,Adaptor3d,TKG3d
Adaptor3d_Surface,,Class,Adaptor3d_Surface,,Adaptor3d,TKG3d
Adaptor3d_TopolTool,,Class,Adaptor3d_TopolTool,,Adaptor3d,TKG3d
AdvApp2Var_ApproxAFunc2Var,,Class,AdvApp2Var_ApproxAFunc2Var,,AdvApp2Var,TKGeomBase
AdvApp2Var_ApproxF2var,,Class,AdvApp2Var_ApproxF2var,,AdvApp2Var,TKGeomBase
AdvApp2Var_Context,,Class,AdvApp2Var_Context,,AdvApp2Var,TKGeomBase
AdvApp2Var_Criterion,,Class,AdvApp2Var_Criterion,,AdvApp2Var,TKGeomBase
AdvApp2Var_Data,,Class,AdvApp2Var_Data,,AdvApp2Var,TKGeomBase
AdvApp2Var_EvaluatorFunc2Var,,Class,AdvApp2Var_EvaluatorFunc2Var,,AdvApp2Var,TKGeomBase
AdvApp2Var_Framework,,Class,AdvApp2Var_Framework,,AdvApp2Var,TKGeomBase
AdvApp2Var_Iso,,Class,AdvApp2Var_Iso,,AdvApp2Var,TKGeomBase
AdvApp2Var_MathBase,,Class,AdvApp2Var_MathBase,,AdvApp2Var,TKGeomBase
AdvApp2Var_Network,,Class,AdvApp2Var_Network,,AdvApp2Var,TKGeomBase
AdvApp2Var_Node,,Class,AdvApp2Var_Node,,AdvApp2Var,TKGeomBase
AdvApp2Var_Patch,,Class,AdvApp2Var_Patch,,AdvApp2Var,TKGeomBase
AdvApp2Var_SysBase,,Class,AdvApp2Var_SysBase,,AdvApp2Var,TKGeomBase
AdvApprox_ApproxAFunction,,Class,AdvApprox_ApproxAFunction,,AdvApprox,TKG3d
AdvApprox_Cutting,,Class,AdvApprox_Cutting,,AdvApprox,TKG3d
AdvApprox_DichoCutting,,Class,AdvApprox_DichoCutting,,AdvApprox,TKG3d
AdvApprox_EvaluatorFunction,,Class,AdvApprox_EvaluatorFunction,,AdvApprox,TKG3d
AdvApprox_PrefAndRec,,Class,AdvApprox_PrefAndRec,,AdvApprox,TKG3d
AdvApprox_PrefCutting,,Class,AdvApprox_PrefCutting,,AdvApprox,TKG3d
AdvApprox_SimpleApprox,,Class,AdvApprox_SimpleApprox,,AdvApprox,TKG3d
AlignedPtr,,Class,AlignedPtr,,AlignedPtr,Unknown
AlignedSize,,Class,AlignedSize,,AlignedSize,Unknown
AppBlend_Approx,,Class,AppBlend_Approx,,AppBlend,TKGeomAlgo
AppCont_Function,,Class,AppCont_Function,,AppCont,TKGeomBase
AppCont_LeastSquare,,Class,AppCont_LeastSquare,,AppCont,TKGeomBase
AppDef_BSpGradient_BFGSOfMyBSplGradientOfBSplineCompute,,Class,AppDef_BSpGradient_BFGSOfMyBSplGradientOfBSplineCompute,,AppDef,TKGeomBase
AppDef_BSpParFunctionOfMyBSplGradientOfBSplineCompute,,Class,AppDef_BSpParFunctionOfMyBSplGradientOfBSplineCompute,,AppDef,TKGeomBase
AppDef_BSpParLeastSquareOfMyBSplGradientOfBSplineCompute,,Class,AppDef_BSpParLeastSquareOfMyBSplGradientOfBSplineCompute,,AppDef,TKGeomBase
AppDef_BSplineCompute,,Class,AppDef_BSplineCompute,,AppDef,TKGeomBase
AppDef_Compute,,Class,AppDef_Compute,,AppDef,TKGeomBase
AppDef_Gradient_BFGSOfMyGradientOfCompute,,Class,AppDef_Gradient_BFGSOfMyGradientOfCompute,,AppDef,TKGeomBase
AppDef_Gradient_BFGSOfMyGradientbisOfBSplineCompute,,Class,AppDef_Gradient_BFGSOfMyGradientbisOfBSplineCompute,,AppDef,TKGeomBase
AppDef_Gradient_BFGSOfTheGradient,,Class,AppDef_Gradient_BFGSOfTheGradient,,AppDef,TKGeomBase
AppDef_HArray1OfMultiPointConstraint,,Class,AppDef_HArray1OfMultiPointConstraint,,AppDef,TKGeomBase
AppDef_LinearCriteria,,Class,AppDef_LinearCriteria,,AppDef,TKGeomBase
AppDef_MultiLine,,Class,AppDef_MultiLine,,AppDef,TKGeomBase
AppDef_MultiPointConstraint,,Class,AppDef_MultiPointConstraint,,AppDef,TKGeomBase
AppDef_MyBSplGradientOfBSplineCompute,,Class,AppDef_MyBSplGradientOfBSplineCompute,,AppDef,TKGeomBase
AppDef_MyGradientOfCompute,,Class,AppDef_MyGradientOfCompute,,AppDef,TKGeomBase
AppDef_MyGradientbisOfBSplineCompute,,Class,AppDef_MyGradientbisOfBSplineCompute,,AppDef,TKGeomBase
AppDef_MyLineTool,,Class,AppDef_MyLineTool,,AppDef,TKGeomBase
AppDef_ParFunctionOfMyGradientOfCompute,,Class,AppDef_ParFunctionOfMyGradientOfCompute,,AppDef,TKGeomBase
AppDef_ParFunctionOfMyGradientbisOfBSplineCompute,,Class,AppDef_ParFunctionOfMyGradientbisOfBSplineCompute,,AppDef,TKGeomBase
AppDef_ParFunctionOfTheGradient,,Class,AppDef_ParFunctionOfTheGradient,,AppDef,TKGeomBase
AppDef_ParLeastSquareOfMyGradientOfCompute,,Class,AppDef_ParLeastSquareOfMyGradientOfCompute,,AppDef,TKGeomBase
AppDef_ParLeastSquareOfMyGradientbisOfBSplineCompute,,Class,AppDef_ParLeastSquareOfMyGradientbisOfBSplineCompute,,AppDef,TKGeomBase
AppDef_ParLeastSquareOfTheGradient,,Class,AppDef_ParLeastSquareOfTheGradient,,AppDef,TKGeomBase
AppDef_ResConstraintOfMyGradientOfCompute,,Class,AppDef_ResConstraintOfMyGradientOfCompute,,AppDef,TKGeomBase
AppDef_ResConstraintOfMyGradientbisOfBSplineCompute,,Class,AppDef_ResConstraintOfMyGradientbisOfBSplineCompute,,AppDef,TKGeomBase
AppDef_ResConstraintOfTheGradient,,Class,AppDef_ResConstraintOfTheGradient,,AppDef,TKGeomBase
AppDef_SmoothCriterion,,Class,AppDef_SmoothCriterion,,AppDef,TKGeomBase
AppDef_TheFunction,,Class,AppDef_TheFunction,,AppDef,TKGeomBase
AppDef_TheGradient,,Class,AppDef_TheGradient,,AppDef,TKGeomBase
AppDef_TheLeastSquares,,Class,AppDef_TheLeastSquares,,AppDef,TKGeomBase
AppDef_TheResol,,Class,AppDef_TheResol,,AppDef,TKGeomBase
AppDef_Variational,,Class,AppDef_Variational,,AppDef,TKGeomBase
AppParCurves,,Class,AppParCurves,,AppParCurves,TKGeomBase
AppParCurves_ConstraintCouple,,Class,AppParCurves_ConstraintCouple,,AppParCurves,TKGeomBase
AppParCurves_HArray1OfConstraintCouple,,Class,AppParCurves_HArray1OfConstraintCouple,,AppParCurves,TKGeomBase
AppParCurves_HArray1OfMultiBSpCurve,,Class,AppParCurves_HArray1OfMultiBSpCurve,,AppParCurves,TKGeomBase
AppParCurves_HArray1OfMultiCurve,,Class,AppParCurves_HArray1OfMultiCurve,,AppParCurves,TKGeomBase
AppParCurves_HArray1OfMultiPoint,,Class,AppParCurves_HArray1OfMultiPoint,,AppParCurves,TKGeomBase
AppParCurves_MultiBSpCurve,,Class,AppParCurves_MultiBSpCurve,,AppParCurves,TKGeomBase
AppParCurves_MultiCurve,,Class,AppParCurves_MultiCurve,,AppParCurves,TKGeomBase
AppParCurves_MultiPoint,,Class,AppParCurves_MultiPoint,,AppParCurves,TKGeomBase
AppStdL_Application,,Class,AppStdL_Application,,AppStdL,TKLCAF
AppStd_Application,,Class,AppStd_Application,,AppStd,TKCAF
ApproxInt_KnotTools,,Class,ApproxInt_KnotTools,,ApproxInt,TKGeomAlgo
ApproxInt_SvSurfaces,,Class,ApproxInt_SvSurfaces,,ApproxInt,TKGeomAlgo
Approx_Curve2d,,Class,Approx_Curve2d,,Approx,TKGeomBase
Approx_Curve3d,,Class,Approx_Curve3d,,Approx,TKGeomBase
Approx_CurveOnSurface,,Class,Approx_CurveOnSurface,,Approx,TKGeomBase
Approx_CurvilinearParameter,,Class,Approx_CurvilinearParameter,,Approx,TKGeomBase
Approx_CurvlinFunc,,Class,Approx_CurvlinFunc,,Approx,TKGeomBase
Approx_FitAndDivide,,Class,Approx_FitAndDivide,,Approx,TKGeomBase
Approx_FitAndDivide2d,,Class,Approx_FitAndDivide2d,,Approx,TKGeomBase
Approx_HArray1OfAdHSurface,,Class,Approx_HArray1OfAdHSurface,,Approx,TKGeomBase
Approx_HArray1OfGTrsf2d,,Class,Approx_HArray1OfGTrsf2d,,Approx,TKGeomBase
Approx_MCurvesToBSpCurve,,Class,Approx_MCurvesToBSpCurve,,Approx,TKGeomBase
Approx_SameParameter,,Class,Approx_SameParameter,,Approx,TKGeomBase
Approx_SweepApproximation,,Class,Approx_SweepApproximation,,Approx,TKGeomBase
Approx_SweepFunction,,Class,Approx_SweepFunction,,Approx,TKGeomBase
Ascii,,Class,Ascii,,Ascii,Unknown
AsciiString,,Class,AsciiString,,AsciiString,Unknown
Aspect_AspectFillAreaDefinitionError,,Class,Aspect_AspectFillAreaDefinitionError,,Aspect,TKService
Aspect_AspectLineDefinitionError,,Class,Aspect_AspectLineDefinitionError,,Aspect,TKService
Aspect_AspectMarkerDefinitionError,,Class,Aspect_AspectMarkerDefinitionError,,Aspect,TKService
Aspect_Background,,Class,Aspect_Background,,Aspect,TKService
Aspect_CircularGrid,,Class,Aspect_CircularGrid,,Aspect,TKService
Aspect_DisplayConnection,,Class,Aspect_DisplayConnection,,Aspect,TKService
Aspect_DisplayConnectionDefinitionError,,Class,Aspect_DisplayConnectionDefinitionError,,Aspect,TKService
Aspect_GenId,,Class,Aspect_GenId,,Aspect,TKService
Aspect_GradientBackground,,Class,Aspect_GradientBackground,,Aspect,TKService
Aspect_GraphicDeviceDefinitionError,,Class,Aspect_GraphicDeviceDefinitionError,,Aspect,TKService
Aspect_Grid,,Class,Aspect_Grid,,Aspect,TKService
Aspect_IdentDefinitionError,,Class,Aspect_IdentDefinitionError,,Aspect,TKService
Aspect_NeutralWindow,,Class,Aspect_NeutralWindow,,Aspect,TKService
Aspect_OpenVRSession,,Class,Aspect_OpenVRSession,,Aspect,TKService
Aspect_RectangularGrid,,Class,Aspect_RectangularGrid,,Aspect,TKService
Aspect_SkydomeBackground,,Class,Aspect_SkydomeBackground,,Aspect,TKService
Aspect_Touch,,Class,Aspect_Touch,,Aspect,TKService
Aspect_VKeySet,,Class,Aspect_VKeySet,,Aspect,TKService
Aspect_Window,,Class,Aspect_Window,,Aspect,TKService
Aspect_WindowDefinitionError,,Class,Aspect_WindowDefinitionError,,Aspect,TKService
Aspect_WindowError,,Class,Aspect_WindowError,,Aspect,TKService
Aspect_WindowInputListener,,Class,Aspect_WindowInputListener,,Aspect,TKService
Aspect_XRAction,,Class,Aspect_XRAction,,Aspect,TKService
Aspect_XRActionSet,,Class,Aspect_XRActionSet,,Aspect,TKService
Aspect_XRSession,,Class,Aspect_XRSession,,Aspect,TKService
Axis,,Class,Axis,,Axis,Unknown
Axis,,Class,Axis,,Axis,Unknown
AxisAspect,,Class,AxisAspect,,AxisAspect,Unknown
BOPAlgo_AlertAcquiredSelfIntersection,,Class,BOPAlgo_AlertAcquiredSelfIntersection,,BOPAlgo,TKBO
BOPAlgo_AlertBOPNotAllowed,,Class,BOPAlgo_AlertBOPNotAllowed,,BOPAlgo,TKBO
BOPAlgo_AlertBOPNotSet,,Class,BOPAlgo_AlertBOPNotSet,,BOPAlgo,TKBO
BOPAlgo_AlertBadPositioning,,Class,BOPAlgo_AlertBadPositioning,,BOPAlgo,TKBO
BOPAlgo_AlertBuilderFailed,,Class,BOPAlgo_AlertBuilderFailed,,BOPAlgo,TKBO
BOPAlgo_AlertBuildingPCurveFailed,,Class,BOPAlgo_AlertBuildingPCurveFailed,,BOPAlgo,TKBO
BOPAlgo_AlertEmptyShape,,Class,BOPAlgo_AlertEmptyShape,,BOPAlgo,TKBO
BOPAlgo_AlertFaceBuilderUnusedEdges,,Class,BOPAlgo_AlertFaceBuilderUnusedEdges,,BOPAlgo,TKBO
BOPAlgo_AlertIntersectionFailed,,Class,BOPAlgo_AlertIntersectionFailed,,BOPAlgo,TKBO
BOPAlgo_AlertIntersectionOfPairOfShapesFailed,,Class,BOPAlgo_AlertIntersectionOfPairOfShapesFailed,,BOPAlgo,TKBO
BOPAlgo_AlertMultiDimensionalArguments,,Class,BOPAlgo_AlertMultiDimensionalArguments,,BOPAlgo,TKBO
BOPAlgo_AlertMultipleArguments,,Class,BOPAlgo_AlertMultipleArguments,,BOPAlgo,TKBO
BOPAlgo_AlertNoFacesToRemove,,Class,BOPAlgo_AlertNoFacesToRemove,,BOPAlgo,TKBO
BOPAlgo_AlertNoFiller,,Class,BOPAlgo_AlertNoFiller,,BOPAlgo,TKBO
BOPAlgo_AlertNoPeriodicityRequired,,Class,BOPAlgo_AlertNoPeriodicityRequired,,BOPAlgo,TKBO
BOPAlgo_AlertNotSplittableEdge,,Class,BOPAlgo_AlertNotSplittableEdge,,BOPAlgo,TKBO
BOPAlgo_AlertNullInputShapes,,Class,BOPAlgo_AlertNullInputShapes,,BOPAlgo,TKBO
BOPAlgo_AlertPostTreatFF,,Class,BOPAlgo_AlertPostTreatFF,,BOPAlgo,TKBO
BOPAlgo_AlertRemovalOfIBForEdgesFailed,,Class,BOPAlgo_AlertRemovalOfIBForEdgesFailed,,BOPAlgo,TKBO
BOPAlgo_AlertRemovalOfIBForFacesFailed,,Class,BOPAlgo_AlertRemovalOfIBForFacesFailed,,BOPAlgo,TKBO
BOPAlgo_AlertRemovalOfIBForMDimShapes,,Class,BOPAlgo_AlertRemovalOfIBForMDimShapes,,BOPAlgo,TKBO
BOPAlgo_AlertRemovalOfIBForSolidsFailed,,Class,BOPAlgo_AlertRemovalOfIBForSolidsFailed,,BOPAlgo,TKBO
BOPAlgo_AlertRemoveFeaturesFailed,,Class,BOPAlgo_AlertRemoveFeaturesFailed,,BOPAlgo,TKBO
BOPAlgo_AlertSelfInterferingShape,,Class,BOPAlgo_AlertSelfInterferingShape,,BOPAlgo,TKBO
BOPAlgo_AlertShapeIsNotPeriodic,,Class,BOPAlgo_AlertShapeIsNotPeriodic,,BOPAlgo,TKBO
BOPAlgo_AlertShellSplitterFailed,,Class,BOPAlgo_AlertShellSplitterFailed,,BOPAlgo,TKBO
BOPAlgo_AlertSolidBuilderFailed,,Class,BOPAlgo_AlertSolidBuilderFailed,,BOPAlgo,TKBO
BOPAlgo_AlertSolidBuilderUnusedFaces,,Class,BOPAlgo_AlertSolidBuilderUnusedFaces,,BOPAlgo,TKBO
BOPAlgo_AlertTooFewArguments,,Class,BOPAlgo_AlertTooFewArguments,,BOPAlgo,TKBO
BOPAlgo_AlertTooSmallEdge,,Class,BOPAlgo_AlertTooSmallEdge,,BOPAlgo,TKBO
BOPAlgo_AlertUnableToGlue,,Class,BOPAlgo_AlertUnableToGlue,,BOPAlgo,TKBO
BOPAlgo_AlertUnableToMakeClosedEdgeOnFace,,Class,BOPAlgo_AlertUnableToMakeClosedEdgeOnFace,,BOPAlgo,TKBO
BOPAlgo_AlertUnableToMakeIdentical,,Class,BOPAlgo_AlertUnableToMakeIdentical,,BOPAlgo,TKBO
BOPAlgo_AlertUnableToMakePeriodic,,Class,BOPAlgo_AlertUnableToMakePeriodic,,BOPAlgo,TKBO
BOPAlgo_AlertUnableToOrientTheShape,,Class,BOPAlgo_AlertUnableToOrientTheShape,,BOPAlgo,TKBO
BOPAlgo_AlertUnableToRemoveTheFeature,,Class,BOPAlgo_AlertUnableToRemoveTheFeature,,BOPAlgo,TKBO
BOPAlgo_AlertUnableToRepeat,,Class,BOPAlgo_AlertUnableToRepeat,,BOPAlgo,TKBO
BOPAlgo_AlertUnableToTrim,,Class,BOPAlgo_AlertUnableToTrim,,BOPAlgo,TKBO
BOPAlgo_AlertUnknownShape,,Class,BOPAlgo_AlertUnknownShape,,BOPAlgo,TKBO
BOPAlgo_AlertUnsupportedType,,Class,BOPAlgo_AlertUnsupportedType,,BOPAlgo,TKBO
BOPAlgo_AlertUserBreak,,Class,BOPAlgo_AlertUserBreak,,BOPAlgo,TKBO
