original_name,refactored_name,type,full_name,namespace,package,toolkit
(unnamed enum at E:\code\occtSrc\Install\inc\AIS_NavigationMode.hxx:25:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\AIS_NavigationMode.hxx:25:1),,(unnamed enum at E:\code\occtSrc\Install\inc\AIS,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\AIS_RotationMode.hxx:27:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\AIS_RotationMode.hxx:27:1),,(unnamed enum at E:\code\occtSrc\Install\inc\AIS,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\AdvApp2Var_SysBase.hxx:95:3),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\AdvApp2Var_SysBase.hxx:95:3),,(unnamed enum at E:\code\occtSrc\Install\inc\AdvApp2Var,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Aspect_VKey.hxx:189:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Aspect_VKey.hxx:189:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Aspect,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Aspect_VKeyFlags.hxx:21:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Aspect_VKeyFlags.hxx:21:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Aspect,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Aspect_VKeyFlags.hxx:39:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Aspect_VKeyFlags.hxx:39:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Aspect,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Aspect_XRGenericAction.hxx:40:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Aspect_XRGenericAction.hxx:40:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Aspect,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Aspect_XRTrackedDeviceRole.hxx:26:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Aspect_XRTrackedDeviceRole.hxx:26:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Aspect,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\BRepFill_AdvancedEvolved.hxx:105:3),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\BRepFill_AdvancedEvolved.hxx:105:3),,(unnamed enum at E:\code\occtSrc\Install\inc\BRepFill,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\BRepFill_AdvancedEvolved.hxx:105:3),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\BRepFill_AdvancedEvolved.hxx:105:3),,(unnamed enum at E:\code\occtSrc\Install\inc\BRepFill,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\BVH_Constants.hxx:17:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\BVH_Constants.hxx:17:1),,(unnamed enum at E:\code\occtSrc\Install\inc\BVH,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\BinMXCAFDoc_VisMaterialDriver.hxx:36:3),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\BinMXCAFDoc_VisMaterialDriver.hxx:36:3),,(unnamed enum at E:\code\occtSrc\Install\inc\BinMXCAFDoc,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\BinTools_FormatVersion.hxx:33:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\BinTools_FormatVersion.hxx:33:1),,(unnamed enum at E:\code\occtSrc\Install\inc\BinTools,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Font_FontAspect.hxx:35:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Font_FontAspect.hxx:35:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Font,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Font_UnicodeSubset.hxx:26:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Font_UnicodeSubset.hxx:26:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Font,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_ArrayFlags.hxx:21:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_ArrayFlags.hxx:21:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_Camera.hxx:772:3),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_Camera.hxx:772:3),,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_CullingTool.hxx:279:3),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_CullingTool.hxx:279:3),,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_DisplayPriority.hxx:38:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_DisplayPriority.hxx:38:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_FrameStatsCounter.hxx:64:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_FrameStatsCounter.hxx:64:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_FrameStatsTimer.hxx:27:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_FrameStatsTimer.hxx:27:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_ShaderManager.hxx:43:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_ShaderManager.hxx:43:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_StereoMode.hxx:33:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_StereoMode.hxx:33:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_TextureUnit.hxx:101:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_TextureUnit.hxx:101:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_TypeOfBackground.hxx:29:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_TypeOfBackground.hxx:29:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_TypeOfLightSource.hxx:40:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_TypeOfLightSource.hxx:40:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_TypeOfReflection.hxx:29:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_TypeOfReflection.hxx:29:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_TypeOfShadingModel.hxx:70:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d_TypeOfShadingModel.hxx:70:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Graphic3d,Unknown
