original_name,refactored_name,type,package,toolkit,has_hxx,has_cxx
AIS,,File,AIS,TKV3d,Yes,No
AIS_AngleDimension,,File,AIS,TKV3d,Yes,No
AIS_Animation,,File,AIS,TKV3d,Yes,Yes
AIS_AnimationAxisRotation,,File,AIS,TKV3d,Yes,Yes
AIS_AnimationCamera,,File,AIS,TKV3d,Yes,Yes
AIS_AnimationObject,,File,AIS,TKV3d,Yes,Yes
AIS_AnimationTimer,,File,AIS,TKV3d,Yes,No
AIS_AttributeFilter,,File,AIS,TKV3d,Yes,Yes
AIS_Axis,,File,AIS,TKV3d,Yes,Yes
AIS_BadEdgeFilter,,File,AIS,TKV3d,Yes,Yes
AIS_BaseAnimationObject,,File,AIS,TKV3d,Yes,Yes
AIS_C0RegularityFilter,,File,AIS,TKV3d,Yes,Yes
AIS_CameraFrustum,,File,AIS,TKV3d,Yes,Yes
AIS_Chamf2dDimension,,File,AIS,TKV3d,Yes,No
AIS_Chamf3dDimension,,File,AIS,TKV3d,Yes,No
AIS_Circle,,File,AIS,TKV3d,Yes,Yes
AIS_ColorScale,,File,AIS,TKV3d,Yes,Yes
AIS_ColoredDrawer,,File,AIS,TKV3d,Yes,No
AIS_ColoredShape,,File,AIS,TKV3d,Yes,Yes
AIS_ConcentricRelation,,File,AIS,TKV3d,Yes,No
AIS_ConnectedInteractive,,File,AIS,TKV3d,Yes,Yes
AIS_DataMapIteratorOfDataMapOfIOStatus,,File,AIS,TKV3d,Yes,No
AIS_DataMapOfIOStatus,,File,AIS,TKV3d,Yes,No
AIS_DataMapOfShapeDrawer,,File,AIS,TKV3d,Yes,No
AIS_DiameterDimension,,File,AIS,TKV3d,Yes,No
AIS_Dimension,,File,AIS,TKV3d,Yes,No
AIS_DimensionOwner,,File,AIS,TKV3d,Yes,No
AIS_DisplayMode,,File,AIS,TKV3d,Yes,No
AIS_DisplayStatus,,File,AIS,TKV3d,Yes,No
AIS_DragAction,,File,AIS,TKV3d,Yes,No
AIS_EllipseRadiusDimension,,File,AIS,TKV3d,Yes,No
AIS_EqualDistanceRelation,,File,AIS,TKV3d,Yes,No
AIS_EqualRadiusRelation,,File,AIS,TKV3d,Yes,No
AIS_ExclusionFilter,,File,AIS,TKV3d,Yes,Yes
AIS_FixRelation,,File,AIS,TKV3d,Yes,No
AIS_GlobalStatus,,File,AIS,TKV3d,Yes,Yes
AIS_GraphicTool,,File,AIS,TKV3d,Yes,Yes
AIS_IdenticRelation,,File,AIS,TKV3d,Yes,No
AIS_InteractiveContext,,File,AIS,TKV3d,Yes,Yes
AIS_InteractiveObject,,File,AIS,TKV3d,Yes,Yes
AIS_KindOfInteractive,,File,AIS,TKV3d,Yes,No
AIS_LengthDimension,,File,AIS,TKV3d,Yes,No
AIS_LightSource,,File,AIS,TKV3d,Yes,Yes
AIS_Line,,File,AIS,TKV3d,Yes,Yes
AIS_ListIteratorOfListOfInteractive,,File,AIS,TKV3d,Yes,No
AIS_ListOfInteractive,,File,AIS,TKV3d,Yes,No
AIS_Manipulator,,File,AIS,TKV3d,Yes,Yes
AIS_ManipulatorMode,,File,AIS,TKV3d,Yes,No
AIS_ManipulatorOwner,,File,AIS,TKV3d,Yes,Yes
AIS_MaxRadiusDimension,,File,AIS,TKV3d,Yes,No
AIS_MediaPlayer,,File,AIS,TKV3d,Yes,Yes
AIS_MidPointRelation,,File,AIS,TKV3d,Yes,No
AIS_MinRadiusDimension,,File,AIS,TKV3d,Yes,No
AIS_MouseGesture,,File,AIS,TKV3d,Yes,No
AIS_MultipleConnectedInteractive,,File,AIS,TKV3d,Yes,Yes
AIS_NArray1OfEntityOwner,,File,AIS,TKV3d,Yes,No
AIS_NListOfEntityOwner,,File,AIS,TKV3d,Yes,No
AIS_NavigationMode,,File,AIS,TKV3d,Yes,No
AIS_OffsetDimension,,File,AIS,TKV3d,Yes,No
AIS_ParallelRelation,,File,AIS,TKV3d,Yes,No
AIS_PerpendicularRelation,,File,AIS,TKV3d,Yes,No
AIS_Plane,,File,AIS,TKV3d,Yes,Yes
AIS_PlaneTrihedron,,File,AIS,TKV3d,Yes,Yes
