original_name,refactored_name,type,toolkit,file_count
AIS,,Package,TKV3d,95
APIHeaderSection,,Package,TKDESTEP,2
Adaptor2d,,Package,TKG2d,3
Adaptor3d,,Package,TKG3d,8
AdvApp2Var,,Package,TKGeomBase,30
AdvApprox,,Package,TKG3d,7
AppBlend,,Package,TKGeomAlgo,2
AppCont,,Package,TKGeomBase,7
AppDef,,Package,TKGeomBase,56
AppParCurves,,Package,TKGeomBase,16
AppStd,,Package,TKCAF,1
AppStdL,,Package,TKLCAF,1
Approx,,Package,TKGeomBase,20
ApproxInt,,Package,TKGeomAlgo,2
Aspect,,Package,TKService,69
BOPAlgo,,Package,TKBO,53
BOPDS,,Package,TKBO,53
BOPTest,,Package,TKTopTest,17
BOPTools,,Package,TKBO,17
BRep,,Package,TKBRep,25
BRepAdaptor,,Package,TKBRep,6
BRepAlgo,,Package,TKBool,7
BRepAlgoAPI,,Package,TKBO,10
BRepApprox,,Package,TKTopAlgo,49
BRepBlend,,Package,TKFillet,44
BRepBndLib,,Package,TKTopAlgo,2
BRepBuilderAPI,,Package,TKTopAlgo,31
BRepCheck,,Package,TKTopAlgo,14
BRepClass,,Package,TKTopAlgo,10
BRepClass3d,,Package,TKTopAlgo,9
BRepExtrema,,Package,TKTopAlgo,20
BRepFeat,,Package,TKFeat,17
BRepFill,,Package,TKBool,55
BRepFilletAPI,,Package,TKFillet,4
BRepGProp,,Package,TKTopAlgo,13
BRepIntCurveSurface,,Package,TKTopAlgo,1
BRepLProp,,Package,TKBRep,7
BRepLib,,Package,TKTopAlgo,24
BRepMAT2d,,Package,TKTopAlgo,7
BRepMesh,,Package,TKMesh,60
BRepMeshData,,Package,TKMesh,6
BRepOffset,,Package,TKOffset,23
BRepOffsetAPI,,Package,TKOffset,16
BRepPreviewAPI,,Package,TKPrim,1
BRepPrim,,Package,TKPrim,11
BRepPrimAPI,,Package,TKPrim,12
BRepProj,,Package,TKBool,1
BRepSweep,,Package,TKPrim,9
BRepTest,,Package,TKTopTest,22
BRepToIGES,,Package,TKDEIGES,4
BRepToIGESBRep,,Package,TKDEIGES,1
BRepTools,,Package,TKBRep,17
BRepTopAdaptor,,Package,TKTopAlgo,7
BSplCLib,,Package,TKMath,10
BSplSLib,,Package,TKMath,4
BVH,,Package,TKMath,35
BiTgte,,Package,TKOffset,4
BinDrivers,,Package,TKBin,4
BinLDrivers,,Package,TKBinL,6
BinMDF,,Package,TKBinL,11
BinMDataStd,,Package,TKBinL,23
BinMDataXtd,,Package,TKBin,7
BinMDocStd,,Package,TKBinL,2
BinMFunction,,Package,TKBinL,4
BinMNaming,,Package,TKBin,3
BinMXCAFDoc,,Package,TKBinXCAF,15
BinObjMgt,,Package,TKBinL,10
BinTObjDrivers,,Package,TKBinTObj,8
BinTools,,Package,TKBRep,14
BinXCAFDrivers,,Package,TKBinXCAF,3
Bisector,,Package,TKTopAlgo,11
Blend,,Package,TKFillet,14
BlendFunc,,Package,TKFillet,22
Bnd,,Package,TKMath,23
BndLib,,Package,TKGeomBase,4
CDF,,Package,TKCDF,12
CDM,,Package,TKCDF,16
CPnts,,Package,TKGeomBase,5
CSLib,,Package,TKMath,5
ChFi2d,,Package,TKFillet,8
ChFi3d,,Package,TKFillet,20
ChFiDS,,Package,TKFillet,30
ChFiKPart,,Package,TKFillet,16
Cocoa,,Package,TKService,2
Contap,,Package,TKHLR,29
Convert,,Package,TKMath,19
D3DHost,,Package,TKD3DHost,4
D3DHostTest,,Package,TKD3DHostTest,1
DBRep,,Package,TKDraw,14
DDF,,Package,TKDCAF,11
DDataStd,,Package,TKDCAF,12
DDocStd,,Package,TKDCAF,7
DE,,Package,TKDE,8
DEBREP,,Package,TKDECascade,2
DEBRepCascade,,Package,TKDECascade,2
