original_name,refactored_name,type,full_name,namespace,package,toolkit
(unnamed struct at E:\code\occtSrc\Install\inc\AdvApp2Var_SysBase.hxx:126:3),,Struct,(unnamed struct at E:\code\occtSrc\Install\inc\AdvApp2Var_SysBase.hxx:126:3),,(unnamed struct at E:\code\occtSrc\Install\inc\AdvApp2Var,Unknown
(unnamed struct at E:\code\occtSrc\Install\inc\AdvApp2Var_SysBase.hxx:140:3),,Struct,(unnamed struct at E:\code\occtSrc\Install\inc\AdvApp2Var_SysBase.hxx:140:3),,(unnamed struct at E:\code\occtSrc\Install\inc\AdvApp2Var,Unknown
AIS_AnimationProgress,,Struct,AIS_AnimationProgress,,AIS,TKV3d
AIS_WalkDelta,,Struct,AIS_WalkDelta,,AIS,TKV3d
AIS_WalkPart,,Struct,AIS_WalkPart,,AIS,TKV3d
Approx_Data,,Struct,Approx_Data,,Approx,TKGeomBase
Approx_SameParameter_Data,,Struct,Approx_SameParameter_Data,,Approx,TKGeomBase
Arrow,,Struct,Arrow,,Arrow,Unknown
Aspect_ScrollDelta,,Struct,Aspect_ScrollDelta,,Aspect,TKService
Aspect_TrackedDevicePose,,Struct,Aspect_TrackedDevicePose,,Aspect,TKService
Aspect_XRAnalogActionData,,Struct,Aspect_XRAnalogActionData,,Aspect,TKService
Aspect_XRDigitalActionData,,Struct,Aspect_XRDigitalActionData,,Aspect,TKService
Aspect_XRHapticActionData,,Struct,Aspect_XRHapticActionData,,Aspect,TKService
Aspect_XRPoseActionData,,Struct,Aspect_XRPoseActionData,,Aspect,TKService
AuxAssemblyItem,,Struct,AuxAssemblyItem,,AuxAssemblyItem,Unknown
BRepExtrema_ElementFilter,,Struct,BRepExtrema_ElementFilter,,BRepExtrema,TKTopAlgo
BSplCLib_CacheParams,,Struct,BSplCLib_CacheParams,,BSplCLib,TKMath
BitComparator,,Struct,BVH::BitComparator,BVH,BitComparator,Unknown
BitPredicate,,Struct,BVH::BitPredicate,BVH,BitPredicate,Unknown
SortRange,,Struct,BVH::SortRange,BVH,SortRange,Unknown
BVH_BinaryTree,,Struct,BVH_BinaryTree,,BVH,TKMath
BVH_BuildTool,,Struct,BVH_BuildTool,,BVH,TKMath
BVH_ChildNodes,,Struct,BVH_ChildNodes,,BVH,TKMath
BVH_PrimitiveRange,,Struct,BVH_PrimitiveRange,,BVH,TKMath
BVH_QuadTree,,Struct,BVH_QuadTree,,BVH,TKMath
BVH_SplitPlane,,Struct,BVH_SplitPlane,,BVH,TKMath
BakingParams,,Struct,BakingParams,,BakingParams,Unknown
BehaviorOnTransform,,Struct,BehaviorOnTransform,,BehaviorOnTransform,Unknown
Block,,Struct,Block,,Block,Unknown
Box,,Struct,Box,,Box,Unknown
CafDocumentTools,,Struct,CafDocumentTools,,CafDocumentTools,Unknown
CallBackData,,Struct,CallBackData,,CallBackData,Unknown
CallBackDataFunc,,Struct,CallBackDataFunc,,CallBackDataFunc,Unknown
Cell,,Struct,Cell,,Cell,Unknown
CellHasher,,Struct,CellHasher,,CellHasher,Unknown
CommandOption,,Struct,CommandOption,,CommandOption,Unknown
CullingContext,,Struct,CullingContext,,CullingContext,Unknown
DBRep_Params,,Struct,DBRep_Params,,DBRep,TKDraw
DEBRep_InternalSection,,Struct,DEBRep_InternalSection,,DEBRep,Unknown
DE_SectionGlobal,,Struct,DE_SectionGlobal,,DE,TKDE
DE_ShapeFixParameters,,Struct,DE_ShapeFixParameters,,DE,TKDE
DrawTrSurf_Params,,Struct,DrawTrSurf_Params,,DrawTrSurf,TKDraw
Draw_XSegment,,Struct,Draw_XSegment,,Draw,TKDraw
EdgeParam,,Struct,EdgeParam,,EdgeParam,Unknown
EdgeRangeDistance,,Struct,EdgeRangeDistance,,EdgeRangeDistance,Unknown
FSD_FileHeader,,Struct,FSD_FileHeader,,FSD,TKernel
FS_Face,,Struct,FS_Face,,FS,Unknown
FS_Vertex,,Struct,FS_Vertex,,FS,Unknown
FaceIndices,,Struct,FaceIndices,,FaceIndices,Unknown
FontHasher,,Struct,FontHasher,,FontHasher,Unknown
Font_FTFontParams,,Struct,Font_FTFontParams,,Font,TKService
Font_FontAlias,,Struct,Font_FontAlias,,Font,TKService
Font_Rect,,Struct,Font_Rect,,Font,TKService
GCPnts_TCurveTypes,,Struct,GCPnts_TCurveTypes,,GCPnts,TKGeomBase
Geom2dHash_CurveHasher,,Struct,Geom2dHash_CurveHasher,,Geom2dHash,Unknown
GeomHash_CurveHasher,,Struct,GeomHash_CurveHasher,,GeomHash,Unknown
GeomHash_SurfaceHasher,,Struct,GeomHash_SurfaceHasher,,GeomHash,Unknown
Graphic3d_Attribute,,Struct,Graphic3d_Attribute,,Graphic3d,TKService
Graphic3d_BufferRange,,Struct,Graphic3d_BufferRange,,Graphic3d,TKService
Graphic3d_PolygonOffset,,Struct,Graphic3d_PolygonOffset,,Graphic3d,TKService
MatrixType,,Struct,Graphic3d_TransformUtils::MatrixType,Graphic3d_TransformUtils,MatrixType,Unknown
VectorType,,Struct,Graphic3d_TransformUtils::VectorType,Graphic3d_TransformUtils,VectorType,Unknown
Graphic3d_UniformValueTypeID,,Struct,Graphic3d_UniformValueTypeID,,Graphic3d,TKService
Graphic3d_ValueInterface,,Struct,Graphic3d_ValueInterface,,Graphic3d,TKService
Graphic3d_ZLayerSettings,,Struct,Graphic3d_ZLayerSettings,,Graphic3d,TKService
GridAxes,,Struct,GridAxes,,GridAxes,Unknown
HLRAlgo_PolyInternalSegment,,Struct,HLRAlgo_PolyInternalSegment,,HLRAlgo,TKHLR
HLRAlgo_TriangleData,,Struct,HLRAlgo_TriangleData,,HLRAlgo,TKHLR
Hasher,,Struct,Hasher,,Hasher,Unknown
IBlock,,Struct,IBlock,,IBlock,Unknown
IMeshTools_Parameters,,Struct,IMeshTools_Parameters,,IMeshTools,TKMesh
Image_ColorBGR,,Struct,Image_ColorBGR,,Image,TKService
Image_ColorBGR32,,Struct,Image_ColorBGR32,,Image,TKService
Image_ColorBGRA,,Struct,Image_ColorBGRA,,Image,TKService
Image_ColorBGRAF,,Struct,Image_ColorBGRAF,,Image,TKService
Image_ColorBGRF,,Struct,Image_ColorBGRF,,Image,TKService
Image_ColorRGB,,Struct,Image_ColorRGB,,Image,TKService
Image_ColorRGB32,,Struct,Image_ColorRGB32,,Image,TKService
Image_ColorRGBA,,Struct,Image_ColorRGBA,,Image,TKService
Image_ColorRGBAF,,Struct,Image_ColorRGBAF,,Image,TKService
Image_ColorRGBF,,Struct,Image_ColorRGBF,,Image,TKService
Image_ColorRGF,,Struct,Image_ColorRGF,,Image,TKService
Image_VideoParams,,Struct,Image_VideoParams,,Image,TKService
IndicesT,,Struct,IndicesT,,IndicesT,Unknown
Inertia,,Struct,Inertia,,Inertia,Unknown
IntPolyh_PointNormal,,Struct,IntPolyh_PointNormal,,IntPolyh,TKGeomAlgo
IntWalk_WalkingData,,Struct,IntWalk_WalkingData,,IntWalk,TKGeomAlgo
Key,,Struct,Key,,Key,Unknown
KeyState,,Struct,KeyState,,KeyState,Unknown
LDOM_StringElem,,Struct,LDOM_StringElem,,LDOM,TKCDF
Link,,Struct,Link,,Link,Unknown
ListNode,,Struct,ListNode,,ListNode,Unknown
LoadingStatistic,,Struct,LoadingStatistic,,LoadingStatistic,Unknown
MergedElemHasher,,Struct,MergedElemHasher,,MergedElemHasher,Unknown
Mesh,,Struct,Mesh,,Mesh,Unknown
MeshVS_SymmetricPairHasher,,Struct,MeshVS_SymmetricPairHasher,,MeshVS,TKMeshVS
MeshVS_TwoColors,,Struct,MeshVS_TwoColors,,MeshVS,TKMeshVS
