original_name,refactored_name,type,package_count
TKBO,,Toolkit,5
TKBRep,,Toolkit,8
TKBin,,Toolkit,3
TKBinL,,Toolkit,6
TKBinTObj,,Toolkit,1
TKBinXCAF,,Toolkit,2
TKBool,,Toolkit,7
TKCAF,,Toolkit,3
TKCDF,,Toolkit,5
TKD3DHost,,Toolkit,1
TKD3DHostTest,,Toolkit,1
TKDCAF,,Toolkit,6
TKDE,,Toolkit,1
TKDECascade,,Toolkit,4
TKDEGLTF,,Toolkit,2
TKDEIGES,,Toolkit,20
TKDEOBJ,,Toolkit,2
TKDEPLY,,Toolkit,2
TKDESTEP,,Toolkit,41
TKDESTL,,Toolkit,3
TKDEVRML,,Toolkit,5
TKDraw,,Toolkit,3
TKExpress,,Toolkit,3
TKFeat,,Toolkit,2
TKFillet,,Toolkit,9
TKG2d,,Toolkit,7
TKG3d,,Toolkit,10
TKGeomAlgo,,Toolkit,33
TKGeomBase,,Toolkit,22
TKHLR,,Toolkit,8
TKIVtk,,Toolkit,4
TKIVtkDraw,,Toolkit,1
TKLCAF,,Toolkit,5
TKMath,,Toolkit,15
TKMesh,,Toolkit,4
TKMeshVS,,Toolkit,1
TKOffset,,Toolkit,4
TKOpenGlTest,,Toolkit,1
TKOpenGles,,Toolkit,1
TKPrim,,Toolkit,5
TKQADraw,,Toolkit,4
TKRWMesh,,Toolkit,1
TKService,,Toolkit,9
TKShHealing,,Toolkit,10
TKStd,,Toolkit,5
TKStdL,,Toolkit,3
TKTObj,,Toolkit,1
TKTObjDRAW,,Toolkit,1
TKTopAlgo,,Toolkit,16
TKTopTest,,Toolkit,8
TKV3d,,Toolkit,11
TKVCAF,,Toolkit,1
TKViewerTest,,Toolkit,1
TKXCAF,,Toolkit,6
TKXDEDRAW,,Toolkit,1
TKXMesh,,Toolkit,1
TKXSBase,,Toolkit,9
TKXSDRAW,,Toolkit,1
TKXSDRAWDE,,Toolkit,1
TKXSDRAWGLTF,,Toolkit,1
TKXSDRAWIGES,,Toolkit,1
TKXSDRAWOBJ,,Toolkit,1
TKXSDRAWPLY,,Toolkit,1
TKXSDRAWSTEP,,Toolkit,1
TKXSDRAWSTL,,Toolkit,1
TKXSDRAWVRML,,Toolkit,1
TKXml,,Toolkit,3
TKXmlL,,Toolkit,6
TKXmlTObj,,Toolkit,1
TKXmlXCAF,,Toolkit,2
TKernel,,Toolkit,18
